Drug_id,Disease,Gene_name,CellType,Individual
PHENYLEPHRINE,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
DOXAZOSIN,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
DOXAZOSIN,Substance Use Disorders,ADRA1A,0.888266949,0.00929555
CARVEDILOL,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
SERTINDOLE,Schizophrenia,ADRA1A,0.888266949,0.00929555
SERTINDOLE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
TRIMIPRAMINE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
TRIMIPRAMINE,Schizophrenia,ADRA1A,0.888266949,0.00929555
PRAZOSIN,Post Traumatic Stress Disorder,ADRA1A,0.888266949,0.00929555
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA1A,0.888266949,0.00929555
NOREPINEPHRINE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
EPINEPHRINE,Major Depressive Disorder,ADRA1A,0.888266949,0.00929555
PHENYLEPHRINE,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
DOXAZOSIN,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
DOXAZOSIN,Substance Use Disorders,ADRA1B,0.877555068,0.018432789
CARVEDILOL,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
SERTINDOLE,Schizophrenia,ADRA1B,0.877555068,0.018432789
SERTINDOLE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
TRIMIPRAMINE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
TRIMIPRAMINE,Schizophrenia,ADRA1B,0.877555068,0.018432789
PRAZOSIN,Post Traumatic Stress Disorder,ADRA1B,0.877555068,0.018432789
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA1B,0.877555068,0.018432789
NOREPINEPHRINE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
EPINEPHRINE,Major Depressive Disorder,ADRA1B,0.877555068,0.018432789
LITHIUM CARBONATE,Major Depressive Disorder,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Bipolar Disorder,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Schizophrenia,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Alzheimer’s Disease,IMPA1,0.403569424,0.058128175
LITHIUM CITRATE,Bipolar Disorder,IMPA1,0.403569424,0.058128175
LITHIUM CARBONATE,Major Depressive Disorder,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Bipolar Disorder,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Schizophrenia,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Alzheimer’s Disease,GSK3A,0.129295391,0.144644693
LITHIUM CITRATE,Bipolar Disorder,GSK3A,0.129295391,0.144644693
LITHIUM CARBONATE,Major Depressive Disorder,GSK3B,0.395182711,0.12790721
LITHIUM CARBONATE,Bipolar Disorder,GSK3B,0.395182711,0.12790721
LITHIUM CARBONATE,Schizophrenia,GSK3B,0.395182711,0.12790721
LITHIUM CARBONATE,Alzheimer’s Disease,GSK3B,0.395182711,0.12790721
LITHIUM CITRATE,Bipolar Disorder,GSK3B,0.395182711,0.12790721
TIDEGLUSIB,Alzheimer’s Disease,GSK3B,0.395182711,0.12790721
SUVOREXANT,Alzheimer’s Disease,HCRTR2,0.52467614,0.039772
SELTOREXANT,Alzheimer’s Disease,HCRTR2,0.52467614,0.039772
METHOTREXATE,Schizophrenia,DHFR,0.090279499,0.184947741
PITOLISANT,Schizophrenia,HRH3,0.587334287,0.055243758
PITOLISANT,Substance Use Disorders,HRH3,0.587334287,0.055243758
ABT-288,Schizophrenia,HRH3,0.587334287,0.055243758
ABT-288,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
BETAHISTINE,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
GSK239512,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
GSK239512,Schizophrenia,HRH3,0.587334287,0.055243758
BAVISANT,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
PF-03654746,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
PF-03654746,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
PF-03654746,Schizophrenia,HRH3,0.587334287,0.055243758
MK-0249,Attention Deficit Hyperactivity Disorder,HRH3,0.587334287,0.055243758
MK-0249,Alzheimer’s Disease,HRH3,0.587334287,0.055243758
MK-0249,Schizophrenia,HRH3,0.587334287,0.055243758
CARVEDILOL,Post Traumatic Stress Disorder,ADRB1,0.550161652,0.045219129
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRB1,0.550161652,0.045219129
NOREPINEPHRINE,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
EPINEPHRINE,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
PINDOLOL,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
PROPRANOLOL,Substance Use Disorders,ADRB1,0.550161652,0.045219129
PROPRANOLOL,Post Traumatic Stress Disorder,ADRB1,0.550161652,0.045219129
PROPRANOLOL,Anxiety Disorder,ADRB1,0.550161652,0.045219129
ATENOLOL,Post Traumatic Stress Disorder,ADRB1,0.550161652,0.045219129
DOPAMINE,Major Depressive Disorder,ADRB1,0.550161652,0.045219129
PREDNISOLONE,Schizophrenia,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Major Depressive Disorder,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Bipolar Disorder,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Alzheimer’s Disease,NR3C1,0.671369743,0.080677179
MIFEPRISTONE,Post Traumatic Stress Disorder,NR3C1,0.671369743,0.080677179
ORG-34517,Major Depressive Disorder,NR3C1,0.671369743,0.080677179
HYDROCORTISONE ACETATE,Major Depressive Disorder,NR3C1,0.671369743,0.080677179
PREDNISONE,Alzheimer’s Disease,NR3C1,0.671369743,0.080677179
MINAPRINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Schizophrenia,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
BREXPIPRAZOLE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
TRIMIPRAMINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
TRIMIPRAMINE,Schizophrenia,HTR2A,0.825905865,0.028362855
BLONANSERIN,Schizophrenia,HTR2A,0.825905865,0.028362855
CHLORPROMAZINE,Schizophrenia,HTR2A,0.825905865,0.028362855
NEFAZODONE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
OLANZAPINE,Eating Disorders,HTR2A,0.825905865,0.028362855
OLANZAPINE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
OLANZAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
OLANZAPINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
LOXAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
LOXAPINE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
ASENAPINE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
ASENAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
THIOTHIXENE,Schizophrenia,HTR2A,0.825905865,0.028362855
CLOZAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
CLOZAPINE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
CLOZAPINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
CHLORPROTHIXENE,Schizophrenia,HTR2A,0.825905865,0.028362855
CHLORPROTHIXENE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
VABICASERIN,Schizophrenia,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Autism Spectrum Disorder,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Schizophrenia,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Attention Deficit Hyperactivity Disorder,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,OCD & Tourette Syndrome,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE,Eating Disorders,HTR2A,0.825905865,0.028362855
PALIPERIDONE PALMITATE,Schizophrenia,HTR2A,0.825905865,0.028362855
HALOPERIDOL DECANOATE,Schizophrenia,HTR2A,0.825905865,0.028362855
HALOPERIDOL,Bipolar Disorder,HTR2A,0.825905865,0.028362855
HALOPERIDOL,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
HALOPERIDOL,Schizophrenia,HTR2A,0.825905865,0.028362855
HALOPERIDOL,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
LURASIDONE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
LURASIDONE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
LURASIDONE,Schizophrenia,HTR2A,0.825905865,0.028362855
ZIPRASIDONE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
ZIPRASIDONE,Schizophrenia,HTR2A,0.825905865,0.028362855
ZIPRASIDONE,Substance Use Disorders,HTR2A,0.825905865,0.028362855
ZIPRASIDONE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
VOLINANSERIN,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
PIMOZIDE,Schizophrenia,HTR2A,0.825905865,0.028362855
PIMOZIDE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
QUETIAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
QUETIAPINE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
QUETIAPINE,OCD & Tourette Syndrome,HTR2A,0.825905865,0.028362855
QUETIAPINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
QUETIAPINE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
QUETIAPINE,Eating Disorders,HTR2A,0.825905865,0.028362855
QUETIAPINE,Attention Deficit Hyperactivity Disorder,HTR2A,0.825905865,0.028362855
QUETIAPINE,Anxiety Disorder,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE LAUROXIL,Schizophrenia,HTR2A,0.825905865,0.028362855
ARIPIPRAZOLE LAUROXIL,Bipolar Disorder,HTR2A,0.825905865,0.028362855
LUMATEPERONE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
LUMATEPERONE,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
LUMATEPERONE,Schizophrenia,HTR2A,0.825905865,0.028362855
RISPERIDONE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
RISPERIDONE,OCD & Tourette Syndrome,HTR2A,0.825905865,0.028362855
RISPERIDONE,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
RISPERIDONE,Schizophrenia,HTR2A,0.825905865,0.028362855
RISPERIDONE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
RISPERIDONE,Substance Use Disorders,HTR2A,0.825905865,0.028362855
RISPERIDONE,Autism Spectrum Disorder,HTR2A,0.825905865,0.028362855
RISPERIDONE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
THIORIDAZINE,Schizophrenia,HTR2A,0.825905865,0.028362855
THIORIDAZINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
PALIPERIDONE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
PALIPERIDONE,Schizophrenia,HTR2A,0.825905865,0.028362855
PALIPERIDONE,OCD & Tourette Syndrome,HTR2A,0.825905865,0.028362855
PALIPERIDONE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
TRIFLUOPERAZINE,Schizophrenia,HTR2A,0.825905865,0.028362855
CYCLOBENZAPRINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
CYCLOBENZAPRINE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
TRAZODONE,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
TRAZODONE,Schizophrenia,HTR2A,0.825905865,0.028362855
TRAZODONE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
MIRTAZAPINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
MIRTAZAPINE,Schizophrenia,HTR2A,0.825905865,0.028362855
MIRTAZAPINE,Substance Use Disorders,HTR2A,0.825905865,0.028362855
MIRTAZAPINE,Eating Disorders,HTR2A,0.825905865,0.028362855
SB-773812,Schizophrenia,HTR2A,0.825905865,0.028362855
PSILOCYBINE,OCD & Tourette Syndrome,HTR2A,0.825905865,0.028362855
PSILOCYBINE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
PSILOCYBINE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
PSILOCYBINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
PSILOCYBINE,Eating Disorders,HTR2A,0.825905865,0.028362855
PIMAVANSERIN,Schizophrenia,HTR2A,0.825905865,0.028362855
PIMAVANSERIN,Alzheimer’s Disease,HTR2A,0.825905865,0.028362855
MOLINDONE,Attention Deficit Hyperactivity Disorder,HTR2A,0.825905865,0.028362855
MOLINDONE,Schizophrenia,HTR2A,0.825905865,0.028362855
ILOPERIDONE,Post Traumatic Stress Disorder,HTR2A,0.825905865,0.028362855
ILOPERIDONE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
ILOPERIDONE,Schizophrenia,HTR2A,0.825905865,0.028362855
AMISULPRIDE,Bipolar Disorder,HTR2A,0.825905865,0.028362855
AMISULPRIDE,Eating Disorders,HTR2A,0.825905865,0.028362855
AMISULPRIDE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
AMISULPRIDE,OCD & Tourette Syndrome,HTR2A,0.825905865,0.028362855
AMISULPRIDE,Schizophrenia,HTR2A,0.825905865,0.028362855
ZIMELDINE,Major Depressive Disorder,HTR2A,0.825905865,0.028362855
MINAPRINE,Major Depressive Disorder,ACHE,0.331531277,0.105532478
GALANTAMINE,Schizophrenia,ACHE,0.331531277,0.105532478
GALANTAMINE,Alzheimer’s Disease,ACHE,0.331531277,0.105532478
GALANTAMINE,Major Depressive Disorder,ACHE,0.331531277,0.105532478
HUPERZINE A,Substance Use Disorders,ACHE,0.331531277,0.105532478
HUPERZINE A,Alzheimer’s Disease,ACHE,0.331531277,0.105532478
DONEPEZIL,Alzheimer’s Disease,ACHE,0.331531277,0.105532478
DONEPEZIL,Schizophrenia,ACHE,0.331531277,0.105532478
DONEPEZIL,Major Depressive Disorder,ACHE,0.331531277,0.105532478
MINAPRINE,Major Depressive Disorder,CHRM1,0.328417357,0.074480207
GLYCOPYRRONIUM,Major Depressive Disorder,CHRM1,0.328417357,0.074480207
MK-7622,Alzheimer’s Disease,CHRM1,0.328417357,0.074480207
BIPERIDEN,Schizophrenia,CHRM1,0.328417357,0.074480207
BIPERIDEN,Major Depressive Disorder,CHRM1,0.328417357,0.074480207
SCOPOLAMINE,Major Depressive Disorder,CHRM1,0.328417357,0.074480207
SCOPOLAMINE,Alzheimer’s Disease,CHRM1,0.328417357,0.074480207
SCOPOLAMINE,Bipolar Disorder,CHRM1,0.328417357,0.074480207
TAK-071,Alzheimer’s Disease,CHRM1,0.328417357,0.074480207
TALSACLIDINE,Alzheimer’s Disease,CHRM1,0.328417357,0.074480207
XANOMELINE,Schizophrenia,CHRM1,0.328417357,0.074480207
LASMIDITAN,Substance Use Disorders,HTR1F,0.722771265,0.032471017
AMISULPRIDE,Bipolar Disorder,HTR1F,0.722771265,0.032471017
AMISULPRIDE,Eating Disorders,HTR1F,0.722771265,0.032471017
AMISULPRIDE,Major Depressive Disorder,HTR1F,0.722771265,0.032471017
AMISULPRIDE,OCD & Tourette Syndrome,HTR1F,0.722771265,0.032471017
AMISULPRIDE,Schizophrenia,HTR1F,0.722771265,0.032471017
ZIMELDINE,Major Depressive Disorder,HTR1F,0.722771265,0.032471017
GLYCOPYRRONIUM,Major Depressive Disorder,CHRM3,0.879450325,0.015660946
TROSPIUM,Schizophrenia,CHRM3,0.879450325,0.015660946
TALSACLIDINE,Alzheimer’s Disease,CHRM3,0.879450325,0.015660946
PERINDOPRIL,Post Traumatic Stress Disorder,ACE,0.483618126,0.059505225
PERINDOPRIL,Alzheimer’s Disease,ACE,0.483618126,0.059505225
PERINDOPRIL,Substance Use Disorders,ACE,0.483618126,0.059505225
BROMAZEPAM,Schizophrenia,GABRA2,0.845774912,0.011521254
BROMAZEPAM,Major Depressive Disorder,GABRA2,0.845774912,0.011521254
ACETAZOLAMIDE,Schizophrenia,CA4,0.415490745,0.058059534
TOPIRAMATE,Post Traumatic Stress Disorder,CA4,0.415490745,0.058059534
TOPIRAMATE,Schizophrenia,CA4,0.415490745,0.058059534
TOPIRAMATE,Eating Disorders,CA4,0.415490745,0.058059534
TOPIRAMATE,OCD & Tourette Syndrome,CA4,0.415490745,0.058059534
TOPIRAMATE,Bipolar Disorder,CA4,0.415490745,0.058059534
TOPIRAMATE,Major Depressive Disorder,CA4,0.415490745,0.058059534
ACETAZOLAMIDE,Schizophrenia,CA1,0.099860387,0.168165266
ACETAZOLAMIDE,Schizophrenia,CA2,0.765984295,0.008801987
TOPIRAMATE,Post Traumatic Stress Disorder,CA2,0.765984295,0.008801987
TOPIRAMATE,Schizophrenia,CA2,0.765984295,0.008801987
TOPIRAMATE,Eating Disorders,CA2,0.765984295,0.008801987
TOPIRAMATE,OCD & Tourette Syndrome,CA2,0.765984295,0.008801987
TOPIRAMATE,Bipolar Disorder,CA2,0.765984295,0.008801987
TOPIRAMATE,Major Depressive Disorder,CA2,0.765984295,0.008801987
LECANEMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
CRENEZUMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
BAPINEUZUMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
GSK933776,Alzheimer’s Disease,APP,0.673375234,0.129273036
GANTENERUMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
SOLANEZUMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
VANUTIDE CRIDIFICAR,Alzheimer’s Disease,APP,0.673375234,0.129273036
ADUCANUMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
PONEZUMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
VALILTRAMIPROSATE,Alzheimer’s Disease,APP,0.673375234,0.129273036
AMILOMOTIDE,Alzheimer’s Disease,APP,0.673375234,0.129273036
TRAMIPROSATE,Alzheimer’s Disease,APP,0.673375234,0.129273036
DONANEMAB,Alzheimer’s Disease,APP,0.673375234,0.129273036
AMISULPRIDE,Bipolar Disorder,HTR7,0.743178516,0.012978555
AMISULPRIDE,Eating Disorders,HTR7,0.743178516,0.012978555
AMISULPRIDE,Major Depressive Disorder,HTR7,0.743178516,0.012978555
AMISULPRIDE,OCD & Tourette Syndrome,HTR7,0.743178516,0.012978555
AMISULPRIDE,Schizophrenia,HTR7,0.743178516,0.012978555
ZIMELDINE,Major Depressive Disorder,HTR7,0.743178516,0.012978555
JNJ-18038683,Bipolar Disorder,HTR7,0.743178516,0.012978555
AMISULPRIDE,Bipolar Disorder,HTR4,0.846672785,0.00718879
AMISULPRIDE,Eating Disorders,HTR4,0.846672785,0.00718879
AMISULPRIDE,Major Depressive Disorder,HTR4,0.846672785,0.00718879
AMISULPRIDE,OCD & Tourette Syndrome,HTR4,0.846672785,0.00718879
AMISULPRIDE,Schizophrenia,HTR4,0.846672785,0.00718879
ZIMELDINE,Major Depressive Disorder,HTR4,0.846672785,0.00718879
PRX-03140,Alzheimer’s Disease,HTR4,0.846672785,0.00718879
VELUSETRAG,Alzheimer’s Disease,HTR4,0.846672785,0.00718879
PRUCALOPRIDE,Major Depressive Disorder,HTR4,0.846672785,0.00718879
AMISULPRIDE,Bipolar Disorder,HTR1E,0.801683188,0.040521099
AMISULPRIDE,Eating Disorders,HTR1E,0.801683188,0.040521099
AMISULPRIDE,Major Depressive Disorder,HTR1E,0.801683188,0.040521099
AMISULPRIDE,OCD & Tourette Syndrome,HTR1E,0.801683188,0.040521099
AMISULPRIDE,Schizophrenia,HTR1E,0.801683188,0.040521099
ZIMELDINE,Major Depressive Disorder,HTR1E,0.801683188,0.040521099
AMISULPRIDE,Bipolar Disorder,HTR5A,0.549634632,0.095294381
AMISULPRIDE,Eating Disorders,HTR5A,0.549634632,0.095294381
AMISULPRIDE,Major Depressive Disorder,HTR5A,0.549634632,0.095294381
AMISULPRIDE,OCD & Tourette Syndrome,HTR5A,0.549634632,0.095294381
AMISULPRIDE,Schizophrenia,HTR5A,0.549634632,0.095294381
ZIMELDINE,Major Depressive Disorder,HTR5A,0.549634632,0.095294381
AMISULPRIDE,Bipolar Disorder,HTR3B,0.724927508,0.046220888
AMISULPRIDE,Eating Disorders,HTR3B,0.724927508,0.046220888
AMISULPRIDE,Major Depressive Disorder,HTR3B,0.724927508,0.046220888
AMISULPRIDE,OCD & Tourette Syndrome,HTR3B,0.724927508,0.046220888
AMISULPRIDE,Schizophrenia,HTR3B,0.724927508,0.046220888
ZIMELDINE,Major Depressive Disorder,HTR3B,0.724927508,0.046220888
GTS-21,Alzheimer’s Disease,CHRNA7,0.850389175,0.006992798
GTS-21,Schizophrenia,CHRNA7,0.850389175,0.006992798
BRADANICLINE,Attention Deficit Hyperactivity Disorder,CHRNA7,0.850389175,0.006992798
BRADANICLINE,Schizophrenia,CHRNA7,0.850389175,0.006992798
ENCENICLINE,Schizophrenia,CHRNA7,0.850389175,0.006992798
ENCENICLINE,Alzheimer’s Disease,CHRNA7,0.850389175,0.006992798
BNC-210,Post Traumatic Stress Disorder,CHRNA7,0.850389175,0.006992798
RG3487,Schizophrenia,CHRNA7,0.850389175,0.006992798
RG3487,Alzheimer’s Disease,CHRNA7,0.850389175,0.006992798
AQW051,Alzheimer’s Disease,CHRNA7,0.850389175,0.006992798
AQW051,Schizophrenia,CHRNA7,0.850389175,0.006992798
ND0801,Attention Deficit Hyperactivity Disorder,CHRNA7,0.850389175,0.006992798
ABT-126,Alzheimer’s Disease,CHRNA7,0.850389175,0.006992798
ABT-126,Schizophrenia,CHRNA7,0.850389175,0.006992798
AVL-3288,Schizophrenia,CHRNA7,0.850389175,0.006992798
